,#,Country,Internet Users  (2016),Penetration (% of Pop),Population (2016),Non-Users (internetless) ,Users 1 Year  Change (%) ,Internet Users 1 Year Change ,Population 1 Y Change,Continent,gdp_percapita
0,1,China,721434547,52.2,1382323332,660888785,2.2,15520515,0.46,Asia,13801.0
1,2,India,462124989,34.8,1326801576,864676587,30.5,108010242,1.2,Asia,6266.0
2,3,U.S.,286942362,88.5,324118787,37176425,1.1,3229955,0.73,North America,56421.0
3,4,Brazil,139111185,66.4,209567920,70456735,5.1,6753879,0.83,South America,15941.0
4,5,Japan,115111595,91.1,126323715,11212120,0.1,117385,-0.2,Asia,38216.0
5,6,Russia,102258256,71.3,143439832,41181576,0.3,330067,-0.01,Europe,24067.0
6,7,Nigeria,86219965,46.1,186987563,100767598,5.0,4124967,2.63,Africa,6204.0
7,8,Germany,71016605,88.0,80682351,9665746,0.6,447557,-0.01,Europe,46896.0
8,9,U.K.,60273385,92.6,65111143,4837758,0.9,555411,0.61,Europe,40676.0
9,10,Mexico,58016997,45.1,128632004,70615007,2.1,1182988,1.27,North America,18370.0
10,11,France,55860330,86.4,64668129,8807799,1.4,758852,0.42,Europe,41018.0
11,12,Indonesia,53236719,20.4,260581100,207344381,6.5,3232544,1.17,Asia,11135.0
12,13,Viet Nam,49063762,52.0,94444200,45380438,3.3,1564346,1.07,Asia,5964.0
13,14,Turkey,46196720,58.0,79622062,33425342,5.1,2242750,1.22,Europe,20188.0
14,15,Philippines,44478808,43.5,102250133,57771325,4.4,1855574,1.54,Asia,7348.0
15,16,South Korea,43274132,85.7,50503933,7229801,1.2,522375,0.42,Asia,36601.0
16,17,Italy,39211518,65.6,59801004,20589486,1.7,666922,0.01,Europe,35811.0
17,18,Iran,39149103,48.9,80043146,40894043,7.7,2784831,1.18,Asia,17141.0
18,19,Spain,37865104,82.2,46064604,8199500,2.2,805002,-0.12,Europe,34899.0
19,20,Pakistan,34342400,17.8,192826502,158484102,9.7,3024054,2.07,Asia,4886.0
20,21,Canada,32120519,88.5,36286378,4165859,1.8,559167,0.96,North America,45723.0
21,22,Egypt,30835256,33.0,93383574,62548318,3.3,990548,2.05,Africa,11194.0
